overdue,[形]期日を過ぎた
ovary,[名]卵巣
overbearing,[形]横柄な
overrate,[動]過大評価する
overtone,[名]ニュアンス 
oxide,[名]酸化物
pacify,[動]静める
padlock,[名]南京錠
pall,[名]棺，とばり
panacea,[名]万能薬
panhandle,[名]平なべの柄
parson,[名]聖職者
passbook,[名]銀行通帳
pathological,[形]病理学の
patter,[名]パタパタという音
peal,[名]響き
pedagogy,[名]教育学
pedantic,[形]学者ぶった
peddler,[名]行商人
peevish,[形]気難しい
pellet,[名]丸薬
pelt,[動]激しく降る 
pelvis,[名]骨盤
penance,[名]ざんげ
pensive,[形]考え込んでいる
peppery,[形]こしょうの味がする
perfunctory,[形]お座なりの
periphery,[名]周囲、末梢、周辺
periscope,[名]潜望鏡
permeate,[動]染み込む
perpendicular,[名]垂線
persimmon,[名]柿
pert,[形]生意気な
peruse,[動]熟読する
petulant,[形]怒りっぽい
pheasant,[名]キジ
phosphorus,[名]リン
physiology,[名]生理学
piecemeal,[名]少し
pigment,[名]色素
pike,[名]槍(やり)、ほこ
pilfer,[動]盗む
pillage,[名]略奪品
pique,[名]立腹
plaintive,[名]悲しげな（声）
plebiscite,[名]国民投票
plenary,[形]全員出席の
plethora,[名]過多、過剰
plod,[名]とぼとぼとした歩み
plumage,[名]羽
plumb,[名]おもり
polarize,[動]分裂させる、両極に分ける
polemic,[名]論争、反論
polyglot,[名]数か国語に通じた人
pomp,[名]華やかさ
pompous,[形]大げさな
ponderous,[形]重々しい
poppy,[名]ポピー
porous,[形]透過性の
posthumous,[形]死後の
postulate,[名]仮説
potassium,[名]カリウム
pounce,[名]急襲
pout,[名]不機嫌
precedence,[名]先行
precept,[名]教訓
precipice,[名]絶壁
precipitation,[名]落下、降水
precipitous,[形]険しい
predisposition,[名]傾向
premonition,[名]予告、徴候、前兆、予感
preponderance,[名]優勢
prerequisite,[名]前提条件
prerogative,[名]特権、大権
presage,[名]予感
prim,[形]堅苦しい、取り澄ました
primordial,[名]基本原理
privy,[形]内々関与して
procrastinate,[動]ぐずぐずする
prodigal,[名]浪費家
profusion,[名]大量
prognosis,[名]予測
projectile,[名]投射物
promiscuous,[形]乱雑な
promontory,[名]岬
propagate,[動]繁殖する
propensity,[名]傾向
prosaic,[形]平凡な
proscribe,[動]禁止する
prospectus,[名]案内書
prostrate,[動]うつぶせにする
protrude,[動]突き出す、突き出る
proviso,[名]条件
psalm,[名]賛美歌
puberty,[名]思春期
pungent,[形]刺激臭、辛辣な
purr,[名]のどを鳴らす音
quail,[名]ウズラ
quarantine,[名]検疫
quaver,[名]震音
quay,[名]埠頭
quench,[動]渇きを癒す
quorum,[名]定足数
rabies,[名]狂犬病
ramification,[名]分岐、支脈、結果
ransack,[動]ものを奪う
rapt,[形]没頭した、有頂天の
rasp,[名]しゃがれ声、耳障りな音
ratification,[名]批准
raze,[動]完全に破壊する、消す
rebuttal,[名]反証
recluse,[名]世捨人
recoil,[名]はね返り
recompense,[名]補償
recrimination,[名]非難し返すこと
recuperate,[動]回復する
redress,[名]救済、矯正、補償
reimburse,[動]払い戻す、返済する
reiterate,[動]繰り返す
rejoinder,[名]口答え
rejuvenate,[動]若返る
reminisce,[動]思い出を語る
remission,[名]鎮静，免除
reparation,[名]償い、賠償
repatriate,[名]送還者
repellent,[名]防虫剤
replete,[形]満たされた、十分備えた
reprieve,[名]一時的救済
repudiate,[動]退ける、拒否する
repulse,[名]撃退、拒絶
rescind,[動]無効にする
residual,[名]残余
resplendent,[形]華麗な
restitution,[名]返還、被害弁償
resuscitate,[動]生き返らせる、復興する
retract,[動]撤回する
revel,[名]お祭り騒ぎ
reverie,[名]空想
rind,[名]木の皮
roost,[名]止まり木
rostrum,[名]演壇、指揮台
rotor,[名]回転部
roundup,[名]検挙、総括
rudder,[名]舵
ruddy,[形]赤くする
rudimentary,[形]基本の
ruffle,[動]波立たせる
ruminate,[動]反芻する、思いめぐらす
rummage,[名]寄せ集め、がらくた
rump,[名]しり肉
rut,[名]決まりきったやり方
sabbath,[名]安息日
sabbatical,[名]有給休暇
sacrilegious,[形]神聖を汚す
sagacious,[形]利口な、機敏な
salient,[名]突出部
saliva,[名]唾液
salutary,[形]有益な、健康回復に良い
satchel,[名]通学用かばん
saturation,[名]飽和
schematic,[形]図式の，図式的な.
schism,[名]分離
scowl,[名]しかめっ面
scrabble,[名]ひっかくこと、走り書き
scruffy,[形]みすぼらしい
scruple,[名]良心のとがめ、ためらい
scuffle,[名]乱闘、小競り合い
scum,[名]人間のくず
secession,[名]離脱
seclude,[動]引きこもる
secluded,[形]人里離れた
secrete,[動]こっそり隠す、分泌する
sedate,[動]落ち着かせる
sedentary,[形]すわりがちの人、坐業者
sediment,[名]沈殿物・堆積物
seethe,[動]煮えくり返る
semantic,[形]語義に関する
senile,[形]老いぼれた
sentry,[名]歩哨、張り番
sequester,[動]隠退させる 
serum,[名]血清
serviceman,[名]軍人
servile,[形]奴隷の
sewerage,[名]下水
sheath,[名]鞘、さや状のもの
shifty,[形]ずるい
shin,[名]脛、すねの骨
shoal,[名]浅瀬
sieve,[名]ふるい、茶こし
sinew,[名]筋肉
skipper,[名]船長、主将
slacken,[動]緩める
slander,[名]中傷
slapstick,[名]どたばた喜劇
sleigh,[名]そり
slither,[名]すべること
slough,[名]泥地
slovenly,[形]だらしない
sluice,[名]水門
smolder,[名]くすぶる火
smudge,[名]汚れ
snip,[名]チョキンと切ること
snooze,[名]居眠り
sod,[名]芝、芝生
sodden,[動]びっしょり濡らす
soggy,[形]ずぶぬれの
sojourn,[名]滞在
solstice,[名]至、至点、最高点
solvent,[名]溶媒
sorcerer,[名]魔法使い
sortie,[名]出撃
spar,[動]軽く打つ，スパーリングする 
specious,[形]見掛け倒しの
spire,[名]とがり屋根、尖塔
sprig,[名]小枝
sprightly,[形]陽気な、活発な
sprite,[名]妖精
spruce,[動]身なりを整える
spurious,[形]偽造の、偽りの
squalid,[形]不潔な、惨めな
squalor,[名]不潔さ、みすぼらしさ
squat,[名]しゃがむこと
squatter,[名]無断居住者
squeamish,[形]気難しい
squid,[名]イカ
squirt,[動]噴出する
stag,[名]雄ジカ
stagnate,[動]停滞する
stallion,[名]種馬、種付け用の雄
stead,[名]代わり、助け、利益
stealthy,[形]ひそかな
stench,[名]悪臭
stenographer,[名]速記者
sterilize,[動]殺菌する
stocky,[形]がっしりした
stow,[動]しまい込む
stratum,[名]層
stricture,[名]非難，酷評，弾劾
stubble,[名]無精ひげ
stuffy,[形]風通しの悪い
stupendous,[形]驚くべき、並外れた
stupor,[名]無感覚、麻痺
subjugate,[動]征服する
subsistence,[名]生活、生計
substantiate,[動]立証する、実証する
subterranean,[形]地下の
subversion,[名]転覆、打倒、壊滅
succinct,[形]簡潔な
succulent,[名]多肉植物
suffocate,[動]窒息する
suffrage,[名]参政権、選挙
sulk,[名]不機嫌
sultan,[名]トルコ皇帝（スルタン）
sultry,[形]蒸し暑い
sundry,[形]種々さまざまの
superimpose,[動]重ね合わせる
supersede,[動]取って代わる
surly,[形]不機嫌な
susceptibility,[名]影響されやすいこと
swindle,[動]だまして金を取る
swine,[名]豚
synod,[名]教会会議
synopsis,[名]概要
syntax,[名]構文
tableau,[名]絵画、活人画
tadpole,[名]おたまじゃくし
talisman,[名]お守り
talon,[名]爪、かぎづめ状のもの
tantalize,[動]じらす、気を持たせる
tardy,[名]遅参
tarry,[動]滞在する
tempestuous,[形]大あらしの
tenancy,[名]借家、借地、小作地
tenement,[名]借家、アパート
tentacle,[名]触手、触糸、触毛
terminology,[名]専門用語
terrestrial,[形]陸上の
tetanus,[名]破傷風
tether,[名]つなぎ繩、範囲、限界
thatch,[名]わらぶき屋根
therein,[副]その中に
thesaurus,[名]類語辞典
thimble,[名]指貫、はめ輪
thoroughbred,[名]サラブレッド
thoroughfare,[名]大通り
thrash,[動]打ちのめす
threadbare,[形]すり切れた
thrifty,[形]節約的な
thud,[名]ドサッという音
tithe,[名]10分の1
toad,[名]ヒキガエル、いやなやつ
tongs,[名]物を挟む道具
topography,[名]地形学、地形
totter,[動]よろよろ歩く、よろめく
tranquilize,[動]落ち着かせる、静める
transitory,[形]はかない
tremulous,[形]震える、おののく
trident,[名]やりなどの三叉道具
trite,[形]使い古された
tropic,[名]熱帯地方
trough,[名]樋、溝
truant,[名]怠け者
turnpike,[名]有料高速道路
twitter,[名]さえずり
typhoid,[名]腸チフス
uncouth,[形]粗野な
underpin,[動]補強する、支持する
undue,[形]過度の、不適当な
unequivocal,[形]疑う余地のない
unfurl,[動]広げる
ungainly,[形]見苦しい
unkempt,[形]手入れのされていない
unobtrusive,[形]慎み深い
unscathed,[形]無傷の
unscrupulous,[形]無法な、不徳な
untenable,[形]擁護できない
upholstery,[名]室内装飾品
upmarket,[形]高所得者向けの、高級な
urbane,[形]洗練された、丁重な
urn,[名]つぼ、骨つぼ
usurp,[動]不法に手に入れる
vacate,[動]立ち退く
vagabond,[名]放浪者
vale,[名]谷，谷間
valiant,[形]勇気ある、勇敢な
valor,[名]勇気
vane,[名]風見、翼、視準板
vanquish,[動]破る
vantage,[名]利益、優勢、有利な立場
variegated,[形]変化に富んだ
vat,[名]大おけ
vector,[名]ベクトル
vehement,[形]激烈な、熱烈な
venom,[名]毒液
venomous,[形]有毒な
ventilation,[名]換気
vested,[形]既得の
vestige,[名]痕跡、名残
veterinarian,[名]獣医
vicinity,[名]付近
vindictive,[形]執念深い、報復の
virile,[形]男らしい、力強い
visage,[名]顔、顔つき、容貌
vivacious,[形]活発な
vociferous,[形]騒々しい、言い張った
volition,[名]意志
voluble,[形]舌のよくまわる
voluptuous,[形]官能的な
vouch,[動]保証する
vulgarity,[名]下品、野卑、俗悪
vulture,[名]ハゲタカ
waft,[名]浮動
wand,[名]棒、指揮棒
wanton,[形]理由のない，むちゃくちゃな
warble,[名]さえずり、震え声
wart,[名]いぼ、こぶ
wavelength,[名]波長
wean,[動]乳離れさせる
welter,[名]雑然とした状態
wheedle,[動]甘言で誘う
wheeze,[名]ゼイゼイいう音
whet,[名]研磨、刺激
whimper,[名]しくしく泣く声
whirlpool,[名]渦
whisker,[名]ほおひげ
whitewash,[名]しっくい
wicker,[名]枝編み細工
wont,[名]習慣
wrest,[名]ねじり
wriggle,[名]身をくねらせること
writhe,[動]もだえ苦しむ 
xenophobia,[名]外国人恐怖症
zenith,[名]頂点、絶頂
zest,[名]熱意
zodiac,[名]十二宮図
